Date,Date_2,Week,year,economic crisis,default,devaluation,dolar price,inflation,exchange rate,ISOCODE,Price,Var,Jump,Jump_dp
6/01/2013,7/01/2013,1,2013,0,0,69,29,0,0,AR,4.9285,0,0,0
13/01/2013,14/01/2013,2,2013,0,27,68,24,0,0,AR,4.951,0.0046,0,0
20/01/2013,21/01/2013,3,2013,0,0,63,39,0,38,AR,4.955,0.0008,0,0
27/01/2013,28/01/2013,4,2013,0,0,57,42,0,33,AR,4.971,0.0032,0,0
3/02/2013,4/02/2013,5,2013,0,0,74,47,0,0,AR,4.983,0.0024,0,0
10/02/2013,11/02/2013,6,2013,0,51,57,51,39,0,AR,4.9958,0.0026,0,0
17/02/2013,18/02/2013,7,2013,20,0,59,48,0,40,AR,5.0113,0.0031,0,0
24/02/2013,25/02/2013,8,2013,0,55,56,52,0,0,AR,5.033,0.0043,0,0
3/03/2013,4/03/2013,9,2013,0,0,56,64,0,0,AR,5.0537,0.0041,0,0
10/03/2013,11/03/2013,10,2013,0,0,53,35,0,30,AR,5.074,0.004,0,0
17/03/2013,18/03/2013,11,2013,0,32,85,43,17,0,AR,5.0958,0.0043,0,0
24/03/2013,25/03/2013,12,2013,33,0,61,46,0,100,AR,5.116,0.004,0,0
31/03/2013,1/04/2013,13,2013,31,0,55,77,0,32,AR,5.1205,0.0009,0,0
7/04/2013,8/04/2013,14,2013,17,0,57,77,0,0,AR,5.136,0.003,0,0
14/04/2013,15/04/2013,15,2013,42,28,66,64,0,0,AR,5.153,0.0033,0,0
21/04/2013,22/04/2013,16,2013,23,0,72,54,100,0,AR,5.1635,0.002,0,0
28/04/2013,29/04/2013,17,2013,35,38,72,100,19,0,AR,5.1808,0.0034,0,0
5/05/2013,6/05/2013,18,2013,0,0,96,77,0,0,AR,5.2062,0.0049,0,0
12/05/2013,13/05/2013,19,2013,0,0,100,44,0,0,AR,5.2332,0.0052,0,0
19/05/2013,20/05/2013,20,2013,21,0,95,52,43,0,AR,5.2435,0.002,0,0
26/05/2013,27/05/2013,21,2013,24,0,77,47,0,0,AR,5.2662,0.0043,0,0
2/06/2013,3/06/2013,22,2013,55,0,84,47,0,0,AR,5.2845,0.0035,0,0
9/06/2013,10/06/2013,23,2013,38,43,84,36,20,0,AR,5.3035,0.0036,0,0
16/06/2013,17/06/2013,24,2013,0,0,71,56,0,0,AR,5.3376,0.0064,0,0
23/06/2013,24/06/2013,25,2013,58,0,86,48,0,26,AR,5.361,0.0044,0,0
30/06/2013,1/07/2013,26,2013,55,0,76,37,0,0,AR,5.3908,0.0056,0,0
7/07/2013,8/07/2013,27,2013,27,0,74,14,16,22,AR,5.4078,0.0032,0,0
14/07/2013,15/07/2013,28,2013,0,0,80,16,0,52,AR,5.4285,0.0038,0,0
21/07/2013,22/07/2013,29,2013,53,0,82,54,0,22,AR,5.4605,0.0059,0,0
28/07/2013,29/07/2013,30,2013,0,0,72,63,0,0,AR,5.491,0.0056,0,0
4/08/2013,5/08/2013,31,2013,0,44,75,41,0,91,AR,5.5215,0.0056,0,0
11/08/2013,12/08/2013,32,2013,0,0,65,31,0,0,AR,5.551,0.0053,0,0
18/08/2013,19/08/2013,33,2013,20,0,78,43,0,0,AR,5.5908,0.0072,0,0
